Recipe,Name,Amount,Unit
Spinatpandekager,Groft salt,0,5,½tsk
Spinatpandekager,Smør - til stegning,10,g
Spinatpandekager,Skyr naturel fraiche eller græsk yoghurt,2,5,½dl
Spinatpandekager,Sød chilisauce,3,spsk
Spinatpandekager,Stegt kyllingekød,300,g
Spinatpandekager,Fintsnittet lilla spidskål,300,g
Spinatpandekager,Babyspinatblade,25,g
Spinatpandekager,Evt. korianderblade,0,stk
Kold bearnaise,Creme fraiche 38% eller 18%,2,5,½dl
Kold bearnaise,Bearnaiseessens,1,spsk
Kold bearnaise,Hakkede estragonblade,3,spsk
Kold bearnaise,Groft salt,0,5,½tsk
Kold bearnaise,Friskkværnet peber,0,stk
Lagkagebunde,Æg,4,stk
Lagkagebunde,Sukker ca. 85 g,1,dl
Lagkagebunde,Hvedemel ca. 60 g,1,dl
Lagkagebunde,Kartoffelmel ca. 25 g,0,5,½dl
Lagkagebunde,Bagepulver,0,5,½tsk
Gammeldags kartoffelsalat med karry,Små nye kartofler,800,g
Gammeldags kartoffelsalat med karry,Vand,0,5,½liter
Gammeldags kartoffelsalat med karry,Groft salt,2,tsk
Gammeldags kartoffelsalat med karry,Creme fraiche 18%,4,dl
Gammeldags kartoffelsalat med karry,Finthakket syltede asier eller syltede agurker,0,75,¾dl
Gammeldags kartoffelsalat med karry,Asielage eller agurkelage,0,75,¾spsk
Gammeldags kartoffelsalat med karry,Karry,2,tsk
Gammeldags kartoffelsalat med karry,Groft salt,1,tsk
Gammeldags kartoffelsalat med karry,Finthakkede forårsløg ca. 50 g,0,5,½bundt
Porchetta i ovn,Griseslag ca. 2 kg,1,stk
Porchetta i ovn,Groft salt,1,5,½spsk
Porchetta i ovn,Friskkværnet peber,0,stk
Porchetta i ovn,Tørrede abrikoser i tynde strimler,75,g
Porchetta i ovn,Små finthakkede fed hvidløg,4,stk
Porchetta i ovn,Finthakket frisk rosmarin,1,spsk
Porchetta i ovn,Finthakket frisk salvie,0,5,½dl
Porchetta i ovn,Revet cheddar- og maasdammerost,150,g
Porchetta i ovn,Finthakkede soltørrede tomater,50,g
Porchetta i ovn,Finthakket skalotteløg ca. 60 g,1,stk
Porchetta i ovn,Fintrevet citronskal usprøjtet,1,tsk
Porchetta i ovn,Bomuldssnor,0,stk
Langtidshævet pizzadej,Koldt vand,4,dl
Langtidshævet pizzadej,Gær,6,g
Langtidshævet pizzadej,Tipo 00 hvedemel,625,g
Langtidshævet pizzadej,Groft salt,2,tsk
Mornaysauce,Hvedemel,2,spsk
Mornaysauce,Mælk,4,dl
Mornaysauce,Smør,50,g
Mornaysauce,Revet gul ost fx revet cheddar- og maasdammerost,150,g
Mornaysauce,Fintrevet muskatnød,0,75,¾tsk
Mornaysauce,Groft salt,0,75,¾tsk
Hvidløgssmør,Blødt smør,100,g
Hvidløgssmør,Meget finthakket skalotteløg,1,spsk
Hvidløgssmør,Små finthakkede fed hvidløg,4,stk
Hvidløgssmør,Groft salt,0,25,¼tsk
Hvidløgssmør,Friskkværnet peber,0,stk
Bananbrød,Modne bananer 500 g,5,-
Bananbrød,Blødt smør,120,g
Bananbrød,Sukker,225,g
Bananbrød,Vaniljesukker,1,5,½tsk
Bananbrød,Æg,3,stk
Bananbrød,Kærnemælk,0,75,¾dl
Bananbrød,Hvedemel,300,g
Bananbrød,Bagepulver,1,5,½tsk
Bananbrød,Groft salt,0,5,½tsk
Bananbrød,Citronskal usprøjtet,1,5,½tsk
Bananbrød,Mørk chokolade ca. 70% - grofthakket eller knapper,150,g
Bananbrød,Sukker til toppen,1,spsk
Hummus,Kikærter i lage ca. 400 g,1,dåse
Hummus,Tahin,1,spsk
Hummus,Olivenolie,1,spsk
Hummus,Friskpresset citronsaft,1,5,½tsk
Hummus,Fed hvidløg,1,stk
Hummus,Stødt spidskommen,1,tsk
Hummus,Groft salt,1,tsk
Hummus,Græsk yoghurt skyr eller kvark,0,75,¾dl
Hummus,Olivenolie,0,stk
Hummus,Stødt spidskommen,0,stk
Hummus,Agurker i stave,2,stk
Hummus,Rød peberfrugt i stave,1,stk
Hummus,Grøn squash i stave,125,g
Lakseruller med flødeost,Pikant flødeost,75,g
Lakseruller med flødeost,Stor tortilla,1,stk
Lakseruller med flødeost,Renset rucolasalat,0,25,¼liter
Lakseruller med flødeost,Røget laks i tynde skiver,100,g
Lakseruller med flødeost,Kogte pillede kinarejer med halevifte,8,stk
Lakseruller med flødeost,Både af limefrugter,8,stk
Lakseruller med flødeost,Træspyd,4,stk
Lakseruller med flødeost,Blandet grøn salat fx hjertesalat rucola og brøndkarse,1,5,½liter
Stuvet spinat,Smør,25,g
Stuvet spinat,Hvedemel,3,spsk
Stuvet spinat,Madlavningsfløde,2,5,½dl
Stuvet spinat,optøet frossen helbladet spinat,450,g
Stuvet spinat,Groft salt,1,tsk
Stuvet spinat,Friskkværnet peber,0,stk
Club Sandwich,Creme fraiche,2,dl
Club Sandwich,Mangochutney,1,spsk
Club Sandwich,Friskpresset citronsaft,1,spsk
Club Sandwich,Karry,1,5,½tsk
Club Sandwich,Sukker,1,tsk
Club Sandwich,Groft salt,0,5,½tsk
Club Sandwich,Mørkt landbrød,8,skiver
Club Sandwich,Bacon ca. 125 g,8,skiver
Club Sandwich,Kyllingefileter,2,stk
Club Sandwich,Hovedsalat,8,blade
Club Sandwich,Store tomater i skiver,2,stk
Club Sandwich,Syltede drueagurker i skiver,8,stk
Lammekølle,Lammekølle ca. 1½ kg,1,stk
Lammekølle,Rosmarinkviste,5,stk
Lammekølle,Groft salt,1,tsk
Lammekølle,Friskkværnet peber,0,stk
Lammekølle,Små hele fed hvidløg,5,stk
Lammekølle,Smeltet smør,50,g
Pulled pork,Tomatketchup,1,dl
Pulled pork,Sød chilisauce,1,5,½spsk
Pulled pork,Stødt spidskommen,1,5,½tsk
Pulled pork,Stødt koriander,1,5,½tsk
Pulled pork,Groft salt,1,5,½tsk
Pulled pork,Nakkefilet,1,5,½kg
Pulled pork,Store finthakkede løg ca. 250 g,3,stk
Pulled pork,Finthakkede fed hvidløg,3,stk
Pulled pork,Vand,0,5,½dl
Pulled pork,Groft salt,1,tsk
Langtidsstegt flæskesteg,Grisekam med ridset svær,1,5,½kg
Langtidsstegt flæskesteg,Groft salt,1,5,½spsk
Langtidsstegt flæskesteg,Laurbærblade,12,stk
Langtidsstegt flæskesteg,Vand,1,liter
Stegte rødspætter,Flåede rødspætter ca. 1000 g,4,stk
Stegte rødspætter,Groft rugmel ca. 1 dl,50,g
Stegte rødspætter,Fint salt,0,5,½tsk
Stegte rødspætter,Friskkværnet peber,0,stk
Stegte rødspætter,Smør,50,g
Stegte rødspætter,Mælk,0,5,½liter
Stegte rødspætter,Majsstivelse fx. maizena,3,spsk
Stegte rødspætter,Finthakket kruspersille,2,dl
Stegte rødspætter,Sukker,0,5,½tsk
Stegte rødspætter,Groft salt,1,tsk
Stegte rødspætter,Groftkværnet peber,0,stk
Stegte rødspætter,Kruspersille,0,stk
Stegte rødspætter,Kogte skrabede eller pillede kartofler,1,kg
Stegte rødspætter,Dampede grøntsager fx ærter - gerne nybælgede,600,g
Stegte rødspætter,Citron usprøjtet i både,1,stk
Roastbeef med bagte kartofler,Roastbeef af okseinderlår,1,5,½kg
Roastbeef med bagte kartofler,Smør,10,g
Roastbeef med bagte kartofler,Groft salt,1,tsk
Roastbeef med bagte kartofler,Friskkværnet peber,0,stk
Roastbeef med bagte kartofler,Vand,1,dl
Roastbeef med bagte kartofler,Vand,2,5,½liter
Roastbeef med bagte kartofler,Groft salt,1,spsk
Roastbeef med bagte kartofler,Skrubbede bagekartofler,2,5,½kg
Roastbeef med bagte kartofler,Creme fraiche,0,5,½liter
Roastbeef med bagte kartofler,Ravigottesauce,0,5,½dl
Roastbeef med bagte kartofler,Groft salt,0,75,¾tsk
Roastbeef med bagte kartofler,Friskkværnet peber,0,stk
Roastbeef med bagte kartofler,Piskefløde - pisket til let skum,2,dl
Roastbeef med bagte kartofler,Blandet grøn salat,300,g
Burgerboller,Smør,50,g
Burgerboller,Mælk,3,dl
Burgerboller,Gær,25,g
Burgerboller,Æg,2,stk
Burgerboller,Sukker,1,spsk
Burgerboller,Groft salt,1,5,½tsk
Burgerboller,Hvedemel,650,g
Burgerboller,Sammenpisket æg til pensling,1,stk
Burgerboller,Sesamfrø eller solsikkefrø,1,dl
Spaghetti bolognese,Olivenolie,1,spsk
Spaghetti bolognese,Salsiccia ca. 2 små pølser farsen tages ud af skindet,100,g
Spaghetti bolognese,Hakket oksekød ca. 12% fedt,400,g
Spaghetti bolognese,Mælk eller sødmælk,1,dl
Spaghetti bolognese,Bladselleri i meget små tern ca. 50 g,2,stilke
Spaghetti bolognese,Finthakket løg ca. 75 g,1,stk
Spaghetti bolognese,Finthakkede fed hvidløg,2,stk
Spaghetti bolognese,Gulerod i meget små tern ca. 75 g,1,stk
Spaghetti bolognese,Koncentreret tomatpuré ca. 100 g,1,dl
Spaghetti bolognese,Tør rødvin eller hvidvin,1,dl
Spaghetti bolognese,Oksebouillon,3,dl
Spaghetti bolognese,Laurbærblade,2,stk
Spaghetti bolognese,Groft salt,1,tsk
Spaghetti bolognese,Friskkværnet peber,0,stk
Spaghetti bolognese,Frisk pasta fx fettuccine eller spaghetti.,500,g
Spaghetti bolognese,Friskrevet Parmigiano Reggiano,100,g
Ærtepuré,Hakket løg,1,stk
Ærtepuré,Vand,1,dl
Ærtepuré,Frosne ærter,1,kg
Ærtepuré,Creme fraiche 38%,1,75,¾dl
Ærtepuré,Groft salt,2,tsk
Ærtepuré,Friskkværnet peber,0,stk
Tunbøf,Smør,150,g
Tunbøf,Finthakket frisk ingefær,2,spsk
Tunbøf,Sojasauce,0,75,¾dl
Tunbøf,Tørrede risnudler,150,g
Tunbøf,Edamamebønner,100,g
Tunbøf,Dampede grønne bønner,400,g
Tunbøf,Saltede cashewnødder,150,g
Tunbøf,Frisk koriander,3,dl
Tunbøf,Sorte sesamfrø,2,spsk
Tunbøf,Tun i 4 skiver,600,g
Tunbøf,Rapsolie,1,tsk
Tunbøf,Flagesalt,1,tsk
Tunbøf,Limefrugter i både,2,stk
Ribbensteg,Ribbensteg - grisekam med ridset svær,1,5,½kg
Ribbensteg,Groft salt,2,tsk
Ribbensteg,Vand,0,5,½liter
Farsbrød,Hakket grisekød ca. 6% fedt,400,g
Farsbrød,Groft salt,0,5,½tsk
Farsbrød,Citronpeber,1,tsk
Farsbrød,Fintrevet løg ca. 100 g,1,stk
Farsbrød,Æg,1,stk
Farsbrød,Finvalsede havregryn ca. 1 dl,40,g
Farsbrød,Mælk,1,dl
Farsbrød,Revet mozzarellaost,200,g
Farsbrød,Rød peberfrugt i små tern ca. 150 g,1,stk
Farsbrød,Røde peberfrugter i store tern ca. 300 g,2,stk
Farsbrød,Faste æbler i tykke både fx granny smith ca. 250 g,2,stk
Farsbrød,Porrer i 2 cm stykker ca. 200 g,2,stk
Farsbrød,Groft salt,1,tsk
Farsbrød,Kvark,250,g
Farsbrød,Citronpeber,0,5,½tsk
Farsbrød,Groft salt,0,25,¼tsk
Farsbrød,Vand,2,spsk
Farsbrød,Finthakket porretop,0,stk
Farsbrød,Ovnbagte kartofler i både eller kogte kartofler,600,g
Æggesalat,Hårdkogte æg,4,stk
Æggesalat,Creme fraiche,1,5,½spsk
Æggesalat,Mayonnaise,1,5,½spsk
Æggesalat,Dijonsennep,1,tsk
Æggesalat,Karry,1,tsk
Æggesalat,Groft salt,0,5,½tsk
Æggesalat,Friskkværnet peber,0,stk
Æggesalat,Grofthakkede syltede agurker,50,g
Æggesalat,Finthakket purløg,0,5,½dl
Kransekage,Marcipan,500,g
Kransekage,Sukker ca. 1¼ dl,100,g
Kransekage,Æggehvide,1,5,½
Kransekage,Flormelis til udrulning,0,stk
Kransekage,Flormelis ca. 3 dl,150,g
Kransekage,Æggehvide,1,stk
Pæretærte,Smør,150,g
Pæretærte,Hvedemel ca. 4 dl,240,g
Pæretærte,Sukker ca. 1½ dl,125,g
Pæretærte,Vaniljesukker,1,tsk
Pæretærte,Stødt ingefær,0,5,½tsk
Pæretærte,Æg,1,stk
Pæretærte,Vand,1,spsk
Pæretærte,Pærer ca. 600 g,4,stk
Pæretærte,Vand,0,stk
Pæretærte,Sukker,0,stk
Pæretærte,Piskefløde pisket til flødeskum,0,25,¼liter
Macarons,Mørk chokolade,175,g
Macarons,Piskefløde,1,75,¾dl
Macarons,Mandelmel ca. 3¾ dl,150,g
Macarons,Flormelis ca. 3 dl,150,g
Macarons,Kakaopulver,4,tsk
Macarons,Æggehvider ca. 120 g,4,stk
Macarons,Sukker ca. 1¾ dl,150,g
Macarons,Vand,0,5,½dl
Hønsesalat,Kyllingefileter,2,stk
Hønsesalat,Koncentreret kyllingefond,1,spsk
Hønsesalat,Vand,0,5,½liter
Hønsesalat,Bacon i strimler,5,skiver
Hønsesalat,Markchampignoner,250,g
Hønsesalat,Skrællede hvide asparges i skrå stykker evt. fra glas,4,stk
Hønsesalat,Creme fraiche,2,dl
Hønsesalat,Fintsnittet purløg,1,dl
Hønsesalat,Citronskal usprøjtet,1,tsk
Hønsesalat,Friskpresset citronsaft,1,tsk
Hønsesalat,Groft salt,0,5,½tsk
Linsebøffer,Tørrede røde linser ca. 375 g kogte,175,g
Linsebøffer,Vand,3,dl
Linsebøffer,Revet cheddarost,125,g
Linsebøffer,Finthakket rødløg ca. 75 g,1,stk
Linsebøffer,Finthakkede fed hvidløg,2,stk
Linsebøffer,Æg,2,stk
Linsebøffer,Pankorasp,1,dl
Linsebøffer,Hvedemel,3,spsk
Linsebøffer,Paprika,1,5,½tsk
Linsebøffer,Groft salt,1,5,½tsk
Linsebøffer,Friskkværnet peber,0,stk
Linsebøffer,Pankorasp,2,dl
Linsebøffer,Rapsolie,3,spsk
Linsebøffer,Smør,25,g
Linsebøffer,Burgerboller salat chilimayo hummus og syltede rødløg,0,stk
Citrontærte med marengs,Hvedemel,175,g
Citrontærte med marengs,Sukker,2,spsk
Citrontærte med marengs,Koldt smør,100,g
Citrontærte med marengs,Vand,1,spsk
Citrontærte med marengs,Friskpresset citronsaft,5,spsk
Citrontærte med marengs,Majsstivelse fx maizena,1,tsk
Citrontærte med marengs,Æg,3,stk
Citrontærte med marengs,Sukker ca. 1¾ dl,150,g
Citrontærte med marengs,Blødt smør i mindre stykker,100,g
Citrontærte med marengs,Æggehvider,2,stk
Citrontærte med marengs,Sukker,4,spsk
Citrontærte med marengs,Friskpresset citronsaft eller eddike,0,5,½tsk
Citrontærte med marengs,Citronmelisseblade eller mynte,0,stk
Ristaffel,Vand,6,dl
Ristaffel,Groft salt,1,tsk
Ristaffel,Jasminris,320,g
Ristaffel,Smør,25,g
Ristaffel,Karry,2,tsk
Ristaffel,Syrlige æbler i små tern,1,dl
Ristaffel,Grofthakket løg,1,dl
Ristaffel,Mælkesauce,0,5,½liter
Ristaffel,Sød chilisauce,1,spsk
Ristaffel,Kyllingefileter i mindre stykker,4,stk
Ristaffel,Forårsløg i skrå skiver ca. 25 g,0,25,¼bundt
Ristaffel,Groft salt,0,75,¾tsk
Ristaffel,Friskkværnet peber,0,stk
Ristaffel,Ristet kokosmel,50,g
Ristaffel,Peanuts,50,g
Ristaffel,Hakkede tørrede abrikoser,50,g
Ristaffel,Banan i skiver,150,g
Ristaffel,Rød peberfrugt i tern,100,g
Ristaffel,Agurk i tern,100,g
Rugbrødslagkage - Brøtort,Æg,5,stk
Rugbrødslagkage - Brøtort,Sukker,125,g
Rugbrødslagkage - Brøtort,Kartoffelmel,1,spsk
Rugbrødslagkage - Brøtort,Bagepulver,2,tsk
Rugbrødslagkage - Brøtort,Grofthakkede hasselnøddekerner,50,g
Rugbrødslagkage - Brøtort,Revet rugbrød,175,g
Rugbrødslagkage - Brøtort,Kakaopulver,2,spsk
Rugbrødslagkage - Brøtort,Piskefløde,0,5,½liter
Rugbrødslagkage - Brøtort,Solbærmarmelade,2,dl
Rugbrødslagkage - Brøtort,Grofthakket mørk chokolade,50,g
Flødeostekage,Smør,100,g
Flødeostekage,Smuldrede digestive kiks,150,g
Flødeostekage,Husblas,4,blade
Flødeostekage,Flødeost,200,g
Flødeostekage,Æggeblommer ca. 2 spsk,2,stk
Flødeostekage,Creme fraiche eller fraiche 9%,2,dl
Flødeostekage,Vaniljesukker,1,tsk
Flødeostekage,Fintrevet citronskal usprøjtet,1,tsk
Flødeostekage,Æggehvider ca. 4 spsk,2,stk
Flødeostekage,Flormelis ca. 1 dl,50,g
Flødeostekage,Friskpresset citronsaft,1,spsk
Flødeostekage,Husblas,4,blade
Flødeostekage,Syltede kirsebær ca. 350 g,1,glas
Flødeostekage,Vand,0,stk
Blåmuslinger med hvidløgsflutes,Friske blåmuslinger i skal,1,kg
Blåmuslinger med hvidløgsflutes,Smør,20,g
Blåmuslinger med hvidløgsflutes,Finthakket løg ca. 75 g,1,stk
Blåmuslinger med hvidløgsflutes,Små knuste fed hvidløg,2,stk
Blåmuslinger med hvidløgsflutes,Tør hvidvin,1,dl
Blåmuslinger med hvidløgsflutes,Piskefløde,0,25,¼liter
Blåmuslinger med hvidløgsflutes,Hakkede friske krydderurt fx persille dild eller basilikum,0,5,½
Blåmuslinger med hvidløgsflutes,Groft salt,1,tsk
Blåmuslinger med hvidløgsflutes,Miniflutes ca. 200 g,4,stk
Blåmuslinger med hvidløgsflutes,Blødt smør,20,g
Blåmuslinger med hvidløgsflutes,Små knuste fed hvidløg,2,stk
Maskeret blomkål,Fast stort blomkål ca. 500 g,1,stk
Maskeret blomkål,Vand,1,liter
Maskeret blomkål,Groft salt,1,tsk
Maskeret blomkål,Grønne asparges i skrå stykker,250,g
Maskeret blomkål,Creme fraiche eller cremefraiche 38%,2,5,½dl
Maskeret blomkål,Klippet karse,2,spsk
Maskeret blomkål,Hakket syltede røde peberfrugter,5,spsk
Maskeret blomkål,Karry,0,5,½tsk
Maskeret blomkål,Groft salt,1,5,½tsk
Maskeret blomkål,Friskkværnet peber,0,stk
Maskeret blomkål,Sukker kan udelades,1,tsk
Maskeret blomkål,Blade af 1 hovedsalat ca. 150 g,0,stk
Maskeret blomkål,Pillede kogte rejer,200,g
Maskeret blomkål,Dildkviste,0,stk
Maskeret blomkål,Flutes,150,g
Gateau Marcel,Smør evt. usaltet,250,g
Gateau Marcel,Grofthakket mørk chokolade,250,g
Gateau Marcel,Æggehvider ca. 2 dl,9,stk
Gateau Marcel,Sukker,250,g
Gateau Marcel,Æggeblommer ca. 1½ dl,7,stk
Gateau Marcel,Citronmelisseblade,0,stk
Gateau Marcel,Chokoladespåner,0,stk
Kartoffelmad med bacon,Bacon i tynde skiver,125,g
Kartoffelmad med bacon,Hytteost,200,g
Kartoffelmad med bacon,Modne avocadoer ca. 300 g,2,stk
Kartoffelmad med bacon,Friskpresset citronsaft,2,spsk
Kartoffelmad med bacon,Fintrevet citronskal usprøjtet,2,tsk
Kartoffelmad med bacon,Groft salt,0,5,½tsk
Kartoffelmad med bacon,Groft rugbrød ca. 300 g,6,skiver
Kartoffelmad med bacon,Kogte små nye kartofler i skiver,600,g
Kartoffelmad med bacon,Grillede grønne asparges,250,g
Kartoffelmad med bacon,Forårsløg i tynde ringe ca. 100 g,1,bundt
Kartoffelmad med bacon,Flagesalt,0,stk
Kartoffelmad med bacon,Friskkværnet peber,0,stk
Sarah Bernhardt kager,Piskefløde,2,dl
Sarah Bernhardt kager,Mørk chokolade,75,g
Sarah Bernhardt kager,Makroner ca. 4 cm i diameter,30,stk
Sarah Bernhardt kager,Smeltet mørk chokolade,200,g
Sarah Bernhardt kager,Tørrede blomster frysetørret hindbær eller guldstøv,0,stk
Citronmåne,Blødt smør,200,g
Citronmåne,Sukker ca. 2¼ dl,200,g
Citronmåne,Groftrevet marcipan,150,g
Citronmåne,Fintrevet citronskal usprøjtet,2,spsk
Citronmåne,Æg,5,stk
Citronmåne,Hvedemel ca. 2¼ dl,125,g
Citronmåne,Kartoffelmel ca. ¾ dl,50,g
Citronmåne,Bagepulver,1,5,½tsk
Citronmåne,Friskpresset citronsaft,1,5,½dl
Citronmåne,Blødt smør til formen,0,stk
Citronmåne,Citroner usprøjtede,2,stk
Citronmåne,Vand,1,dl
Citronmåne,Sukker ca. 1 dl,85,g
Citronmåne,Flormelis ca. 4 dl,200,g
Citronmåne,Friskpresset citronsaft,2,5,½spsk
Amerikanske havregrynspandekager,Æg,2,stk
Amerikanske havregrynspandekager,Mælk eller kærnemælk,2,dl
Amerikanske havregrynspandekager,Havregryn ca. 1 dl,60,g
Amerikanske havregrynspandekager,Hvedemel ca. 1¼ dl,80,g
Amerikanske havregrynspandekager,Fint salt,0,5,½tsk
Amerikanske havregrynspandekager,Bagepulver,1,tsk
Amerikanske havregrynspandekager,Sukker,1,tsk
Amerikanske havregrynspandekager,Smør til stegning,10,g
Amerikanske havregrynspandekager,Frisk ananas,0,5,½
Amerikanske havregrynspandekager,Ahornsirup,0,5,½dl
Kyllingebryst i pande,Champignoner,250,g
Kyllingebryst i pande,Kyllingefileter,4,stk
Kyllingebryst i pande,Groft salt,0,5,½tsk
Kyllingebryst i pande,Friskkværnet peber,0,stk
Kyllingebryst i pande,Smør,50,g
Kyllingebryst i pande,Mild paprika,1,5,½tsk
Kyllingebryst i pande,Hakkede mellemstore løg,2,stk
Kyllingebryst i pande,Flåede tomater,1,dåse
Kyllingebryst i pande,Piskefløde,2,dl
Kyllingebryst i pande,Groft salt,1,tsk
Kyllingebryst i pande,Friskkværnet peber,0,stk
Kyllingebryst i pande,Evt. saucejævner,0,stk
Kyllingebryst i pande,Hakket bredbladet persille,0,stk
Kyllingebryst i pande,Brød eller kogte kartofler,0,stk
Belgiske vafler,Æg,3,stk
Belgiske vafler,Sukker,150,g
Belgiske vafler,Hvedemel,350,g
Belgiske vafler,Vaniljesukker,1,tsk
Belgiske vafler,Bagepulver,3,tsk
Belgiske vafler,Groft salt,0,5,½tsk
Belgiske vafler,Kærnemælk,5,dl
Belgiske vafler,Smeltet smør,200,g
Nudelsalat,Sød chilisauce,3,spsk
Nudelsalat,Fiskesauce,3,spsk
Nudelsalat,Sesamolie eller en neutral olie,3,spsk
Nudelsalat,Friskpresset limesaft,2,spsk
Nudelsalat,Tørrede ægnudler,100,g
Nudelsalat,Vand,2,liter
Nudelsalat,Groft salt,2,tsk
Nudelsalat,Forårsløg i tynde ringe ca. 50 g,2,stk
Nudelsalat,Fintsnittet spidskål,200,g
Nudelsalat,Stor gulerod i tynde stave ca. 125 g,1,stk
Nudelsalat,Agurk i tynde stave ca. 125 g,0,5,½
Nudelsalat,Rød peberfrugt i tynde stave ca. 100 g,1,stk
Nudelsalat,Frisk koriander,2,dl
Nudelsalat,Peanuts,1,dl
Kokostoppe,Smør,50,g
Kokostoppe,Æg,2,stk
Kokostoppe,Sukker ca. 1 dl,85,g
Kokostoppe,Kokosmel ca. 5¾ dl,200,g
Kokostoppe,Fintrevet lime- eller citronskal usprøjtet,2,spsk
Kokostoppe,Smeltet mørk chokolade,150,g
Hjemmelavet pasta,Tipo 00 hvedemel,300,g
Hjemmelavet pasta,Æg,3,stk
Hjemmelavet pasta,Olivenolie,1,spsk
Hjemmelavet pasta,Fint salt,1,tsk
Hjemmelavet pasta,Tipo 00 hvedemel - til udrulning,25,g
Hurtigt rugbrød,Knækkede rugkerner ca. 4 dl,300,g
Hurtigt rugbrød,Kogende vand,5,dl
Hurtigt rugbrød,Gær,25,g
Hurtigt rugbrød,Lunkent vand,3,dl
Hurtigt rugbrød,Kærnemælk,4,dl
Hurtigt rugbrød,Øl fx porter eller anden mørk øl,2,dl
Hurtigt rugbrød,Hvedemel ca. 11 dl,500,g
Hurtigt rugbrød,Rugmel ca. 3¾ dl,250,g
Hurtigt rugbrød,Hørfrø ca. 3 dl,200,g
Hurtigt rugbrød,Solsikkekerner ca. 2½ dl,150,g
Hurtigt rugbrød,Sesamfrø ca. 2 dl,125,g
Hurtigt rugbrød,Groft salt,2,spsk
Salat med vandmelon avocado og jordbær,Jordbær i kvarte,400,g
Salat med vandmelon avocado og jordbær,Vandmelon i mindre stykker,400,g
Salat med vandmelon avocado og jordbær,Avocadoer i tynde skiver ca. 200 g,2,stk
Salat med vandmelon avocado og jordbær,Grofthakkede mynteblade,1,dl
Salat med vandmelon avocado og jordbær,Salatost i tern,200,g
Salat med vandmelon avocado og jordbær,Olivenolie,1,spsk
Salat med vandmelon avocado og jordbær,Friskpresset limesaft,1,spsk
Salat med vandmelon avocado og jordbær,Lille knust fed hvidløg,1,stk
Salat med vandmelon avocado og jordbær,Groft salt,0,25,¼tsk
Salat med vandmelon avocado og jordbær,Friskkværnet peber,0,stk
Salat med vandmelon avocado og jordbær,Sesamfrø,0,stk
Salat med vandmelon avocado og jordbær,Mynteblade,0,stk
Øllebrød,Rugbrød uden kerner i skiver,350,g
Øllebrød,Vand,0,5,½liter
Øllebrød,Maltøl a 33 cl,2,flasker
Øllebrød,Kanelstang,1,stk
Øllebrød,Appelsinskal usprøjtet ca. 3 x 10 cm,1,stk
Øllebrød,Sukker ca. 1 dl,85,g
Øllebrød,Friskpresset appelsinsaft,1,spsk
Øllebrød,Piskefløde pisket til flødeskum fløde eller mælk,1,5,½dl
Klassens-time-kage,Blødt smør,250,g
Klassens-time-kage,Sukker ca. 4 dl,350,g
Klassens-time-kage,Æg,4,stk
Klassens-time-kage,Hvedemel,500,g
Klassens-time-kage,Bagepulver,3,tsk
Klassens-time-kage,Kakaopulver,1,dl
Klassens-time-kage,Vaniljesukker,3,tsk
Klassens-time-kage,Mælk,3,dl
Laksetærte,Hvedemel,120,g
Laksetærte,Fuldkornshvedemel,60,g
Laksetærte,Groft salt,0,5,½tsk
Laksetærte,Koldt smør,100,g
Laksetærte,Vand,2,spsk
Laksetærte,Varmrøget laks,150,g
Laksetærte,Porre i tykke ringe ca. 125 g,1,stk
Laksetærte,Finthakket frisk dild,1,dl
Laksetærte,Flødeost,150,g
Laksetærte,Æg,3,stk
Laksetærte,Mælk,1,dl
Laksetærte,Groft salt,0,25,¼tsk
Laksetærte,Friskkværnet peber,0,stk
Hjemmelavet gnocchi med salviesmør,Kogte og pillede kartofler,800,g
Hjemmelavet gnocchi med salviesmør,Tipo 00 hvedemel,150,g
Hjemmelavet gnocchi med salviesmør,Groft salt,1,tsk
Hjemmelavet gnocchi med salviesmør,Friskkværnet peber,0,stk
Hjemmelavet gnocchi med salviesmør,Æg,1,stk
Hjemmelavet gnocchi med salviesmør,Smør,75,g
Hjemmelavet gnocchi med salviesmør,Salvieblade,0,75,¾dl
Hjemmelavet gnocchi med salviesmør,Citronskal usprøjtet,1,tsk
Hjemmelavet gnocchi med salviesmør,Ærter,250,g
Hjemmelavet gnocchi med salviesmør,Grillede grønne asparges,200,stk
Hjemmelavet gnocchi med salviesmør,Flagesalt,0,stk
Jordbærsmoothie,Frosne jordbær,100,g
Jordbærsmoothie,Isterninger,4,stk
Jordbærsmoothie,Flormelis,3,5,½spsk
Jordbærsmoothie,Friskpresset citronsaft,1,spsk
Jordbærsmoothie,A38 naturel,2,dl
Jordbærsmoothie,Mælk,1,5,½dl
Cheesecake,Smør,150,g
Cheesecake,Knuste digestive kiks,300,g
Cheesecake,Lagkageplast ca. 8 cm bred,0,stk
Cheesecake,Husblas,4,blade
Cheesecake,Vaniljestang kornene heraf eller vaniljepasta i tilsvarende mængde,1,stk
Cheesecake,Sukker ca. 1½ dl,125,g
Cheesecake,Piskefløde,0,25,¼liter
Cheesecake,Citronskal usprøjtet,1,spsk
Cheesecake,Flødeost,200,g
Cheesecake,Creme fraiche,0,25,¼liter
Cheesecake,Friskpresset citronsaft,2,spsk
Cheesecake,Friske bær fx hindbær blåbær ribs og/eller brombær,300,g
